profile,arm,exact,mean,ci_low,ci_high,signs,min,max
medium_dephase_only,quantum_field_only,0.0,-0.002335,-0.009216,0.003983,+7/-9,-0.034424,0.01416
medium_dephase_only,quantum_no_entangle,-0.0,-0.002441,-0.007401,0.002319,+9/-7,-0.020508,0.012451
medium_dephase_only,quantum_direct_coupled,0.037847,0.038406,0.033463,0.043106,+16/-0,0.018066,0.052979
medium_dephase_only,quantum_dephased_control,0.000095,-0.002136,-0.007919,0.003067,+8/-8,-0.02832,0.012207
medium_depol1q_only,quantum_field_only,0.0,-0.000885,-0.005554,0.003616,+8/-8,-0.021729,0.01416
medium_depol1q_only,quantum_no_entangle,0.0,0.00267,-0.004257,0.009827,+9/-7,-0.023193,0.029297
medium_depol1q_only,quantum_direct_coupled,0.041526,0.036697,0.030975,0.042664,+16/-0,0.016113,0.063477
medium_depol1q_only,quantum_dephased_control,0.000104,-0.003372,-0.010727,0.003876,+8/-8,-0.029541,0.026367
medium_depol2q_only,quantum_field_only,-0.0,0.000427,-0.004288,0.004868,+9/-6,-0.020996,0.013916
medium_depol2q_only,quantum_no_entangle,0.0,-0.001923,-0.005524,0.001648,+7/-9,-0.013916,0.011719
medium_depol2q_only,quantum_direct_coupled,0.038036,0.038391,0.033997,0.042572,+16/-0,0.022217,0.052734
medium_depol2q_only,quantum_dephased_control,0.000095,0.000977,-0.005997,0.008072,+8/-8,-0.02417,0.026611
medium_readout_only,quantum_field_only,0.0,0.001099,-0.003067,0.005295,+8/-8,-0.01123,0.01416
medium_readout_only,quantum_no_entangle,0.0,-0.002014,-0.006683,0.002671,+7/-9,-0.021484,0.016113
medium_readout_only,quantum_direct_coupled,0.043826,0.047333,0.042664,0.052109,+16/-0,0.027832,0.06543
medium_readout_only,quantum_dephased_control,0.000109,-0.00647,-0.011215,-0.002105,+3/-13,-0.025635,0.007812
heavy_dephase_only,quantum_field_only,-0.0,-0.001266,-0.008102,0.004822,+9/-7,-0.0354,0.01709
heavy_dephase_only,quantum_no_entangle,-0.0,0.004379,-0.001099,0.009476,+10/-6,-0.017822,0.019775
heavy_dephase_only,quantum_direct_coupled,0.02944,0.031052,0.025589,0.036515,+16/-0,0.015137,0.046875
heavy_dephase_only,quantum_dephased_control,0.000076,-0.00592,-0.01059,-0.001389,+5/-11,-0.027832,0.013916
heavy_depol1q_only,quantum_field_only,-0.0,0.004547,-0.000733,0.01001,+10/-6,-0.013184,0.023438
heavy_depol1q_only,quantum_no_entangle,-0.0,-0.00029,-0.005814,0.005402,+7/-9,-0.022217,0.020264
heavy_depol1q_only,quantum_direct_coupled,0.036081,0.035065,0.029037,0.041062,+16/-0,0.011963,0.058105
heavy_depol1q_only,quantum_dephased_control,0.000091,-0.000992,-0.006272,0.004715,+6/-10,-0.019287,0.024902
heavy_depol2q_only,quantum_field_only,-0.0,0.000427,-0.004273,0.004761,+9/-6,-0.020996,0.013916
heavy_depol2q_only,quantum_no_entangle,0.0,-0.001923,-0.005585,0.001663,+7/-9,-0.013916,0.011719
heavy_depol2q_only,quantum_direct_coupled,0.028355,0.033829,0.02948,0.037873,+16/-0,0.016602,0.047607
heavy_depol2q_only,quantum_dephased_control,0.000071,-0.000259,-0.006393,0.006394,+5/-11,-0.017334,0.027344
heavy_readout_only,quantum_field_only,0.0,0.003799,-0.001114,0.009262,+10/-6,-0.013184,0.030273
heavy_readout_only,quantum_no_entangle,0.0,0.002197,-0.004822,0.008926,+9/-7,-0.026855,0.026855
heavy_readout_only,quantum_direct_coupled,0.041519,0.039429,0.034729,0.044388,+16/-0,0.022461,0.05835
heavy_readout_only,quantum_dephased_control,0.000103,0.001144,-0.004028,0.006592,+9/-6,-0.02002,0.0271
