source_arm,key,n_seed,mean_prep_coherence,mean_prep_MI,mean_readout_W,mean_diag_shadow_readout_W,mean_coherence_attributable_readout_W,mean_key_gain_vs_no_key,positive_key_gain_seed_count,positive_coherence_attributable_seed_count,mean_final_coherence,mean_final_MI
quantum,no_key,60,1.1728591162607365,0.023752622491445132,0.43536727824471677,0.43536727824471677,0.0,0.0,0,0,1.7607306971758556e-07,1.98165949527133e-08
quantum,correct_key,60,1.1728591162607365,0.023752622491445132,25.74543251951784,25.7451204268233,0.00031209269453948233,25.310065241273126,60,60,0.41156250197752053,0.0015481802258776086
quantum,wrong_key,60,1.1728591162607365,0.023752622491445132,25.744808334128752,25.745120426823302,-0.0003120926945507326,25.309441055884033,60,0,0.4115624992671367,0.0015481802439492453
quantum,phase_shuffled_correct_key,60,1.1728591162607365,0.023752622491445132,17.837374794980015,17.837454894407514,-8.009942749636068e-05,17.4020075167353,60,25,0.6841938498491172,0.0015789671901627537
classical,no_key,60,0.0,0.0006633090752853573,0.5189216113509366,0.5189216113509366,0.0,0.0,0,0,0.0,4.230092596780681e-09
classical,correct_key,60,0.0,0.0006633090752853573,25.70858628416899,25.70858628416899,0.0,25.189664672818058,60,0,0.41156232447617397,0.0015481715277667696
classical,wrong_key,60,0.0,0.0006633090752853573,25.70858628416899,25.70858628416899,0.0,25.189664672818058,60,0,0.41156232447617397,0.0015481715277667696
classical,phase_shuffled_correct_key,60,0.0,0.0006633090752853573,17.85796519284275,17.85796519284275,0.0,17.339043581491815,60,0,0.6841916487200302,0.0015789384940705167
full_dephase,no_key,60,0.0,0.004271531431649859,0.2583555272866659,0.2583555272866659,0.0,0.0,0,0,0.0,4.132683331479805e-08
full_dephase,correct_key,60,0.0,0.004271531431649859,25.82555754963246,25.82555754963246,0.0,25.567202022345796,60,0,0.4115623211199867,0.0015482067742492564
full_dephase,wrong_key,60,0.0,0.004271531431649859,25.82555754963246,25.82555754963246,0.0,25.567202022345796,60,0,0.4115623211199867,0.0015482067742492488
full_dephase,phase_shuffled_correct_key,60,0.0,0.004271531431649859,17.79198705571253,17.79198705571253,0.0,17.533631528425865,60,0,0.6841984814407317,0.0015790400907117557
no_internal_links,no_key,60,3.605764471410494e-05,1.8100904053806124e-14,0.0002996200977889312,0.0002996200977889312,0.0,0.0,0,0,1.6156477291431177e-08,2.3723659998176033e-14
no_internal_links,correct_key,60,3.605764471410494e-05,1.8100904053806124e-14,25.932480753404317,25.932480818786342,-6.53820257194108e-08,25.93218113330653,60,30,0.4115624157617058,0.0015481685780145238
no_internal_links,wrong_key,60,3.605764471410494e-05,1.8100904053806124e-14,25.93248068789541,25.932480818786342,-1.308909295024326e-07,25.93218106779762,60,29,0.41156241576096114,0.0015481685780157012
no_internal_links,phase_shuffled_correct_key,60,3.605764471410494e-05,1.8100904053806124e-14,17.731283848250524,17.731284075153575,-2.2690305406432761e-07,17.730984228152735,60,24,0.6842048860759588,0.001579058821766339
